Cell Name,Start Note,End Note,Notes,Modes,Mode scores,Sample Count
Ascending II Scale,5,9,"['5', '6', '7', '1', '9']","['7sus4', 'Dorian', 'Locrian']","{'Dorian': 1.3, 'Locrian': 0.8, 'Myxolidian': 0.4}",1
Ascending II-Minor 7th Arpeggio (ending on 3rd),5,3,"['5', '7', '9', '4', '3']","['7sus4', 'Dorian', 'Locrian', 'Myxolidian']","{'Dorian': 1.1, 'Locrian': 1.1, 'Myxolidian': 0.7}",1
Ascending II-Minor 7th Arpeggio (ending on 6th),5,6,"['5', '7', '9', '4', '6']","['7sus4', 'Dorian']","{'Dorian': 1.1, 'Locrian': 0.5, 'Myxolidian': 0.3}",1
Ascending Scale from 7th,7,4,"['7', '1', '9', '3', '4']","['7sus4', 'Dorian']","{'Dorian': 0.7, 'Locrian': 0.4, 'Myxolidian': 0.1}",0
Cannonball Adderley Approach,5,9,"['5', '4', '3', '4', '9']","['7sus4', 'Dorian', 'Locrian', 'Myxolidian']","{'Dorian': 1.1, 'Locrian': 1.1, 'Myxolidian': 0.7}",3
Chromatic Passing Tone Enclosure of II 3rd,6,7,"['6', '7', '1', 'maj7', '7']","['7sus4', 'Myxolidian', 'Dorian']","{'Myxolidian': 0.7, 'Dorian': 0.7, 'Locrian': 0.3}",5
Circle of 5th Approach,#11,3,"['#11', '6', '5', '4', '3']","['7sus4', 'Dorian', 'Locrian', 'Myxolidian']","{'Dorian': 0.9, 'Locrian': 0.9, 'Myxolidian': 0.7}",1
Coltrane Pattern from 7th (ending on #11),7,#11,"['7', '1', '9', '4', '#11']","['7sus4', 'Dorian']","{'Dorian': 0.7, 'Locrian': 0.4, 'Myxolidian': 0.1}",2
Coltrane Pattern from 7th (ending on 3rd),7,3,"['7', '1', '9', '4', '3']","['7sus4', 'Dorian', 'Locrian']","{'Dorian': 1.0, 'Locrian': 0.9, 'Myxolidian': 0.5}",0
Coltrane Pattern from root,1,7,"['1', '9', '3', '5', '7']","['7sus4', 'Myxolidian', 'Locrian', 'Dorian']","{'Myxolidian': 1.1, 'Locrian': 0.8, 'Dorian': 0.7}",5
Descending Bebop scale from root,1,5,"['1', 'maj7', '7', '6', '5']","['7sus4', 'Dorian', 'Myxolidian', 'Locrian']","{'Dorian': 1.0, 'Myxolidian': 0.9, 'Locrian': 0.7}",3
Descending Dominant Scale from 3rd,3,6,"['3', '9', '1', '7', '6']","['7sus4', 'Myxolidian', 'Dorian']","{'Myxolidian': 0.9, 'Dorian': 0.6, 'Locrian': 0.5}",2
Descending Dominant Scale from 5th,5,1,"['5', '4', '3', '2', '1']","['7sus4', 'Myxolidian', 'Dorian', 'Locrian']","{'Myxolidian': 1.2, 'Dorian': 0.9, 'Locrian': 0.9}",1
Descending Dominant Scale from 7th ending on #11,7,#11,"['7', '6', '5', '4', '#11']","['7sus4', 'Dorian', 'Locrian']","{'Dorian': 1.0, 'Locrian': 0.7, 'Myxolidian': 0.4}",1
Descending Dominant Scale from 7th ending on 3rd,7,3,"['7', '6', '5', '4', '3']","['7sus4', 'Dorian', 'Locrian', 'Myxolidian']","{'Dorian': 1.3, 'Locrian': 1.2, 'Myxolidian': 0.8}",1
Descending II Arpeggio from II-5th,9,3,"['9', '7', '5', '4', '3']","['7sus4', 'Dorian', 'Locrian', 'Myxolidian']","{'Dorian': 1.1, 'Locrian': 1.1, 'Myxolidian': 0.7}",2
Descending II Scale,9,5,"['9', '1', '7', '6', '5']","['7sus4', 'Dorian', 'Locrian']","{'Dorian': 1.3, 'Locrian': 0.8, 'Myxolidian': 0.4}",1
Descending Minor 7th arpeggio from 4th,4,3,"['4', '9', '7', '5', '3']","['7sus4', 'Locrian', 'Dorian']","{'Locrian': 0.8, 'Dorian': 0.7, 'Myxolidian': 0.5}",2
Descending Mintor 7th arpeggio from 4th,4,3,"['4', '9', '7', '5', '3']","['7sus4', 'Locrian', 'Dorian']","{'Locrian': 0.8, 'Dorian': 0.7, 'Myxolidian': 0.5}",2
Dexter Gordon,3,6,"['3', '4', '9', '7', '6']","['7sus4', 'Dorian', 'Locrian']","{'Dorian': 0.9, 'Locrian': 0.7, 'Myxolidian': 0.4}",3
Diatonic Enclosure of 3rd,5,3,"['5', '9', '4', '9', '3']","['7sus4', 'Dorian', 'Locrian', 'Myxolidian']","{'Dorian': 0.9, 'Locrian': 0.9, 'Myxolidian': 0.7}",1
Diatonic Enclosure to #11,5,#11,"['5', '9', '4', '9', '#11']","['7sus4', 'Dorian']","{'Dorian': 0.6, 'Locrian': 0.4, 'Myxolidian': 0.3}",0
Diminished-to-Dominant,#11,1,"['#11', '6', '5', '3', '1']","['7sus4', 'Myxolidian', 'Dorian']","{'Myxolidian': 0.8, 'Dorian': 0.6, 'Locrian': 0.4}",2
Dominant 9th Arpeggio,3,1,"['3', '5', '7', '9', '1']","['7sus4', 'Myxolidian', 'Locrian', 'Dorian']","{'Myxolidian': 1.1, 'Locrian': 0.8, 'Dorian': 0.7}",5
Dominant Bebop Scale from 3rd,3,7,"['3', '9', '1', 'maj7', '7']","['7sus4', 'Myxolidian', 'Locrian', 'Dorian']","{'Myxolidian': 1.1, 'Locrian': 0.8, 'Dorian': 0.7}",3
Dominant Turn,6,1,"['6', '5', '#11', '5', '1']",['7sus4'],"{'Myxolidian': 0.5, 'Dorian': 0.3, 'Locrian': 0.0}",4
Freddie Hubbard,9,1,"['9', '4', '3', '9', '1']","['7sus4', 'Myxolidian', 'Locrian', 'Dorian']","{'Myxolidian': 0.9, 'Locrian': 0.7, 'Dorian': 0.6}",4
George Coleman minor 7,6,3,"['6', '5', '9', '4', '3']","['7sus4', 'Dorian', 'Locrian']","{'Dorian': 0.9, 'Locrian': 0.7, 'Myxolidian': 0.4}",3
Hank Mobley,7,1,"['7', '2', '6', '5', '1']","['7sus4', 'Myxolidian', 'Dorian']","{'Myxolidian': 0.7, 'Dorian': 0.7, 'Locrian': 0.3}",3
Hidden Ideal maj7 Arpeggio to 13th,6,6,"['6', '7', '9', '4', '6']","['7sus4', 'Dorian']","{'Dorian': 0.9, 'Locrian': 0.1, 'Myxolidian': 0.0}",3
Jimmy Heath,1,4,"['1', 'maj7', '7', '9', '4']","['7sus4', 'Myxolidian']","{'Myxolidian': 0.7, 'Dorian': 0.4, 'Locrian': 0.3}",4
Johnny Griffin Enclosure (Mccoy),9,5,"['9', '4', '#11', '6', '5']","['7sus4', 'Dorian']","{'Dorian': 0.9, 'Locrian': 0.5, 'Myxolidian': 0.3}",2
Lee Morgan Dominant,1,6,"['1', 'maj7', '7', '9', '6']","['7sus4', 'Myxolidian', 'Dorian']","{'Myxolidian': 0.7, 'Dorian': 0.7, 'Locrian': 0.3}",5
Minor Honeysuckle Rose,1,6,"['1', '7', '9', '4', '6']","['7sus4', 'Dorian']","{'Dorian': 0.6, 'Myxolidian': 0.5, 'Locrian': 0.1}",4
Passing Tone Enclosure,9,3,"['9', '4', '9', '#9', '3']","['7sus4', 'Dorian', 'Locrian']","{'Dorian': 0.9, 'Locrian': 0.8, 'Myxolidian': 0.4}",3
Perfect Chromatic Enclosure of 5th,4,5,"['4', '#11', '6', '#5', '5']","['7sus4', 'Dorian']","{'Dorian': 0.9, 'Locrian': 0.4, 'Myxolidian': 0.3}",1
Reverse Coltrane Pattern,4,6,"['4', '9', '1', '7', '6']",['7sus4'],"{'Myxolidian': 0.5, 'Dorian': 0.3, 'Locrian': 0.0}",2
Reverse George Coleman Dominant from 6th (Mccoy),6,1,"['6', '5', '3', '9', '1']","['7sus4', 'Myxolidian', 'Dorian']","{'Myxolidian': 0.9, 'Dorian': 0.6, 'Locrian': 0.5}",2
Reverse Minor Coltrane,9,1,"['9', '7', '6', '5', '1']","['7sus4', 'Dorian']","{'Dorian': 0.6, 'Myxolidian': 0.5, 'Locrian': 0.1}",2
Sonny Stitt Enclosure of II Root,#11,5,"['#11', '6', '#5', '#11', '5']","['7sus4', 'Dorian']","{'Dorian': 0.6, 'Locrian': 0.4, 'Myxolidian': 0.3}",0
Stan Getz enclosure of II 3rd,9,7,"['9', '#5', '6', '1', '7']","['7sus4', 'Dorian']","{'Dorian': 1.0, 'Locrian': 0.4, 'Myxolidian': 0.1}",1
Stan Getz enclosure of II Root,7,5,"['7', '4', '#11', '6', '5']","['7sus4', 'Dorian', 'Locrian']","{'Dorian': 1.0, 'Locrian': 0.7, 'Myxolidian': 0.4}",2
