Cell Name,Start Note,End Note,Notes,Movement,Type
Coltrane Pattern from root,1,7,"['1', '9', '3', '5', '7']",N,Essential
Descending Bebop scale from root,1,5,"['1', 'maj7', '7', '6', '5']",N,Essential
Lee Morgan Dominant (Mccoy),1,6,"['1', 'maj7', '7', '9', '6']",N,Essential
Minor Honeysuckle Rose,1,6,"['1', '7', '9', '4', '6']",N,Essential
Descending Dominant Scale from 3rd,3,6,"['3', '9', '1', '7', '6']",N,Essential
Dexter Gordon,3,6,"['3', '4', '9', '7', '6']",N,Essential
Dominant 9th Arpeggio,3,1,"['3', '5', '7', '9', '1']",N,Essential
Dominant Bebop Scale from 3rd,3,7,"['3', '9', '1', 'maj7', '7']",N,Essential
Dominant arperggio to 13th (Mccoy),3,6,"['3', '5', '7', '1', '6']",N,Essential
Locrian Arpeggio from 3rd,3,#8,"['3', '5', '7', '9', '#8']",N,Essential
Perfect Chromatic Enclosure of 5th,4,5,"['4', '#11', '6', '#5', '5']",N,Essential
Reverse Coltrane Pattern,4,6,"['4', '9', '1', '7', '6']",N,Essential
Ascending II Scale,5,9,"['5', '6', '7', '1', '9']",N,Essential
Ascending II-Minor 7th Arpeggio (ending on 3rd),5,3,"['5', '7', '9', '4', '3']",N,Essential
Ascending II-Minor 7th Arpeggio (ending on 6th),5,6,"['5', '7', '9', '4', '6']",N,Essential
Cannonball Adderley Approach,5,9,"['5', '4', '3', '4', '9']",N,Essential
Descending Dominant Scale from 5th,5,1,"['5', '4', '3', '2', '1']",N,Essential
Diatonic Enclosure of 3rd,5,3,"['5', '9', '4', '9', '3']",N,Essential
Diatonic Enclosure to #11,5,#11,"['5', '9', '4', '9', '#11']",N,Essential
Locrian from 3rd,5,#8,"['5', '4', '3', '9', '#8']",N,Essential
Locrian Diatonic Enclosure,5,#8,"['5', '7', '9', '8', '#8']",N,Essential
Chromatic Passing Tone Enclosure of II 3rd,6,7,"['6', '7', '1', 'maj7', '7']",N,Essential
Dominant #5 Scale from 6th (Mccoy),6,3,"['6', '#5', '5', '4', '3']",N,Essential
Dominant Turn,6,1,"['6', '5', '#11', '5', '1']",N,Essential
George Coleman minor 7,6,3,"['6', '5', '9', '4', '3']",N,Essential
Hidden Ideal maj7 Arpeggio to 13th (Mccoy),6,6,"['6', '7', '9', '4', '6']",N,Essential
Reverse George Coleman Dominant from 6th (Mccoy),6,1,"['6', '5', '3', '9', '1']",N,Essential
Sonny Rollins,6,6,"['6', '7', '4', '5', '6']",N,Essential
Stan Getz enclosure of II Root starting from 6th (Mccoy),6,5,"['6', '#11', '5', '6', '5']",N,Essential
Dominant 3rd descending enclosure (Mccoy),6,#8,"['6', '4', '3', '9', '#8']",N,Essential
Ascending Scale from 7th,7,4,"['7', '1', '9', '3', '4']",N,Essential
Coltrane Pattern from 7th (ending on #11),7,#11,"['7', '1', '9', '4', '#11']",N,Essential
Coltrane Pattern from 7th (ending on 3rd),7,3,"['7', '1', '9', '4', '3']",N,Essential
Descending Dominant Scale from 7th ending on #11,7,#11,"['7', '6', '5', '4', '#11']",N,Essential
Descending Dominant Scale from 7th ending on 3rd,7,3,"['7', '6', '5', '4', '3']",N,Essential
Hank Mobley (Mccoy),7,1,"['7', '9', '6', '5', '1']",N,Essential
Stan Getz enclosure of II Root starting from 7th,7,5,"['7', '4', '#11', '6', '5']",N,Essential
Reverse Locrian Arpeggio from 5th,7,#8,"['7', '5', '3', '9', '#8']",N,Essential
Descending II Arpeggio from II-5th,9,3,"['9', '7', '5', '4', '3']",N,Essential
Descending II Scale,9,5,"['9', '1', '7', '6', '5']",N,Essential
Freddie Hubbard,9,1,"['9', '4', '3', '9', '1']",N,Essential
Johnny Griffin Enclosure of 5th (Mccoy),9,5,"['9', '4', '#11', '6', '5']",N,Essential
Passing Tone Enclosure,9,3,"['9', '4', '9', '#9', '3']",N,Essential
Reverse Minor Coltrane,9,1,"['9', '7', '6', '5', '1']",N,Essential
Stan Getz enclosure of II 3rd,9,7,"['9', '#5', '6', '1', '7']",N,Essential
Reverse Locrian Arpeggio from 7th,9,#8,"['9', '7', '5', '3', '#8']",N,Essential
Circle of 5th Approach,#11,3,"['#11', '6', '5', '4', '3']",N,Essential
Diminished-to-Dominant,#11,1,"['#11', '6', '5', '3', '1']",N,Essential
Farao,#11,3,"['#11', '9', '4', '9', '3']",N,Essential
Sonny Stitt Enclosure of II Root,#11,5,"['#11', '6', '#5', '#11', '5']",N,Essential
