Cell Name,Start Note,End Note,Notes,Movement,Type
Ascending II-Minor 7th Arpeggio (from V-7th),7,1,"['7', 'b9', '4', 'b6', '1']",A,Essential
#9/b9 Dominant arperggio from 5th (Mccoy),5,1,"['5', '7', 'b9', '#9', '1']",A,Essential
Ascending Scale from II-5,b9,b6,"['b9', '#9', '4', '5', 'b6']",A,Essential
Descending b9 Dominant Scale from 5th,5,1,"['5', '4', '3', 'b9', '1']",D,Essential
Reverse Coltrane from b6,b6,1,"['b6', '4', '#9', 'b9', '1']",D,Essential
Dexter Gordon,5,1,"['5', 'b6', '4', 'b9', '1']",D,Bonus
Sonny Rollins,5,5,"['5', 'b6', '#9', '3', '5']",N,Bonus
Hank Mobley (Mccoy),b6,7,"['b6', '1', '5', '4', '7']",N,Bonus
Reverse George Coleman(Mccoy),5,7,"['5', '4', 'b9', '1', '3']",D,Essential
Reverse Coltrane from V-R,1,3,"['1', 'b6', '5', '4', '3']",N,Bonus
Ascending I-Arpeggio to V-b9,4,b9,"['4', 'b6', '1', '#9', 'b9']",A,Essential
Dominant Minor Bop Scale (Mccoy),1,5,"['1', '#7', '7', 'b6', '5']",D,Essential
Descending II Arpeggio from II-5th to #9,1,#9,"['1', 'b6', '4', '3', '#9']",D,Essential
Descending II Arpeggio from II-5th to b9,1,b9,"['1', 'b6', '4', '3', 'b9']",D,Essential
Coltrane Pattern from V-b6,b6,b9,"['b6', '7', '1', '#9', 'b9']",A,Essential
Descending Dominant Scale to #9,b6,#9,"['b6', '5', '4', '3', '#9']",D,Essential
Descending Dominant Scale to b9,b6,b9,"['b6', '5', '4', '3', 'b9']",D,Essential
Descending Enclosure of 3rd,b6,3,"['b6', '5', '4', #9', '3']",D,Essential
Locrian Arpeggio,5,3,"['5','7','b9','4','3']",A,Essential
Reverse Coltrane Loc (Mccoy),1,3,"['1','b6','5','4','3']",D,Essential
Reverse Loc Arpeggio,1,#7,"['4','b9','7','5','3']",D,Essential
Desc Locrian Scale from 7th,7,3,"['7', 'b6','5', '4', '3']",D,Essential
Locrian Diatonic Enclosure,7,3,"['7','b9','4','#9','3']",N,Essential
Freddie Hubbard,4,3,"['4', 'b6', '5', '4', '3']",N,Bonus
Coltrane Pattern from #9,#9,b6,"['#9', '4', '5', '7', 'b6']",A,Essential
Chromatic enclosure to R,4,1,"['4', '3', '#9', 'b9', '1']",D,Essential
Stan Getz enclosure,4,b9,"['4', 'maj7', '7', '#3', '1']",N,Essential
