Date,Line type,Line,Note sequence,Grade,Comment,Movement
2024-07-04,Maj7,"['Coltrane Pattern from 5th', 'Coltrane Pattern from root', 'Ideal Maj 7 Arpeggio', 'Ideal Maj 7 Arpeggio']","[""['5', '6', '7', '9', '1']"", ""['1', '2', '3', '5', '7']"", ""['7', '1', '3', '5', '7']"", ""['7', '1', '3', '5', '7']""]",4,,A
2024-07-04,Maj7,"['Elevator Up Stairs Down from 3rd', 'Coltrane Pattern from 5th', 'Coltrane Pattern from root', 'Ideal Maj 7 Arpeggio']","[""['3', '5', '7', '6', '5']"", ""['5', '6', '7', '9', '1']"", ""['1', '2', '3', '5', '7']"", ""['7', '1', '3', '5', '7']""]",3,,A
2024-07-04,Maj7,"['George Coleman Maj7', 'Major Honeysuckle', 'Ideal Maj 7 Arpeggio', 'Ideal Maj 7 Arpeggio']","[""['3', '5', '6', '7', '9']"", ""['9', '1', '3', '5', '7']"", ""['7', '1', '3', '5', '7']"", ""['7', '1', '3', '5', '7']""]",4,,A
2024-07-04,Maj7,"['Elevator Up Stairs Down from 3rd', 'Coltrane Pattern from 5th', 'Coltrane Pattern from root', 'Ideal Maj 7 Arpeggio']","[""['3', '5', '7', '6', '5']"", ""['5', '6', '7', '9', '1']"", ""['1', '2', '3', '5', '7']"", ""['7', '1', '3', '5', '7']""]",3,,A
2024-07-04,Maj7,"['George Coleman Maj7', 'Charlie Parker Turn', 'Maj Triad from 3rd', 'Coltrane Pattern from 5th']","[""['3', '5', '6', '7', '9']"", ""['9', '1', '7', '1', '3']"", ""['3', '5', '1', '3', '5']"", ""['5', '6', '7', '9', '1']""]",4,without last cell,A
2024-07-04,Maj7,"['Lee Morgan Maj7', 'Descending Maj scale from 7th', 'Stan Getz Major Enclosure', 'Major Bebop Scale from Root']","[""['9', 'b9', '1', '3', '7']"", ""['7', '6', '5', '4', '3']"", ""['3', 'b7', '7', '9', '1']"", ""['1', '7', '6', '#5', '5']""]",3,can split for 2 different lines of 3 each,D
2024-07-04,Maj7,"['Descending Maj Scale from 9th', 'Reverse Coltrane', 'Lydian augmented enclosure', 'Descending Maj Scale from 5th']","[""['9', '1', '7', '6', '5']"", ""['5', '3', '9', '1', '7']"", ""['7', '6', '#5', '#4', '5']"", ""['5', '4', '3', '9', '7']""]",5,starting from pos 2 string e,D
2024-07-04,Maj7,"['Descending Maj scale from 7th', 'Descending Maj Scale from 3rd', 'Descending Maj Scale from 9th', 'Descending Maj Scale from 5th']","[""['7', '6', '5', '4', '3']"", ""['3', '9', '1', '7', '9']"", ""['9', '1', '7', '6', '5']"", ""['5', '4', '3', '9', '7']""]",5,2 octaves iz,D
2024-07-16,Dorian x Dominant,"['Super Locrian scale (from #9)', 'Stan Getz enclosure of II Root starting from 7th', 'Cannonball Adderley Approach', 'Hidden min-maj7 Chord']","[""['7', 'b6', '5', '4', '3']"", ""['3', '7', '#7', '9', '1']"", ""['1', '7', '6', '7', '5']"", ""['5', '3', '#7', 'b6', '5']""]",4,Position 2,D
2024-07-16,Dorian x Dominant,"['Min Melodic Arpeggio', 'Bill Evans Ascending enclosure (from b13)', 'Ascendng b9 Arpeggio', 'Diatonic Enclosure of 6th']","[""['1', '3', '5', '#7', '3']"", ""['3', '4', '7', 'b6', '5']"", ""['5', 'b6', '#7', '3', '1']"", ""['1', '5', '7', '5', '6']""]",2,,A
2024-07-17,Dorian x Dominant,"['Ascending II-Minor 7th Arpeggio (ending on 9th)', 'Stan Getz enclosure of II Root starting from 6th (Mccoy)', 'Min Melodic Arpeggio', 'Ascending Aug Triad from 3rd']","[""['1', '3', '5', '7', '9']"", ""['9', '#7', '1', '9', '1']"", ""['1', '3', '5', '#7', '3']"", ""['3','5','#7','3','5']""]",5,"Without last cell, Horizontal from E string",A
2024-07-18,Dorian x Dominant,"['Descending Dominant Scale from 5th', 'Descending Scale from 4th', 'Ascending MelMinor scale to 3rd (Mccoy)', 'Hidden Fully Altered reverse Minor Coltrane (from b13)']","[""['1', '7', '6', '5', '4']"", ""['4', '3', '9', '1', '9']"", ""['9', '#7', '1', '9', '3']"", ""['3', '#7', '7', 'b6', '5']""]",5,Resolution Line,D
2024-07-24,Maj7,"['Major Bebop Scale from Root', 'Descending Maj Scale from 5th', 'Chromatic Passing tone enclosure (of Maj 7 root)', 'Major Bebop Scale from Root']","[""['1', '7', '6', '#5', '5']"", ""['5', '4', '3', '9', '7']"", ""['7', '1', '9', 'b9', '1']"", ""['1', '7', '6', '#5', '5']""]",3,Pos 1 to 2,D
